case_num,publication_num,decision_date,court_provided_header,court_provided_keywords,court_provided_class,legal_area,applicant_names,applicant_class,respondent_names,respondent_class
B 1622-18,NJA 2019 s. 399,2019-05-14,"Airsoftvapen ska anses utgöra effektbegränsade skjutvapen enligt vapenlagen om anslagsenergin är minst 0,2 joule.","Effektbegränsat skjutvapen, Airsoftvapen, Skjutvapen",B,8,åklagaren,Oa,"A.S.,N.W.","Px,Pm"
B 1751-18,NJA 2018 s. 1010,2018-12-14,Penningtvättsbrott. Rubricering och straffvärdebedömning (I–III),"Brottsrubricering, Gradindelning, Straffvärdebedömning, Penningtvättsbrott",B,8,åklagaren,Oa,"E.A.,J.S.E.,A.S.,E.S.,L.C.","Pm,Pm,Pw,Pw,Pm"
B 177-19,NJA 2019 s. 531,2019-06-18,"CBD-olja som innehåller THC utgör en beredning enligt psykotropkonventionen och är därmed att anse som narkotika. Det strider inte mot legalitetsprincipen att anse oljan som narkotika vid tillämpning av narkotikastrafflagen, trots att den THC som finns i oljan härrör från laglig industrihampa.","Narkotikabrott, Beredning, Blandning eller lösning, CBD-olja, Industrihampa, Legalitetsprincipen, Psykotropt ämne, THC",B,8,åklagaren,Oa,J.K.,Pm
B 1776-17,NJA 2017 s. 1129,2017-12-22,Fråga om gränsdragningen mellan ringa misshandel och misshandel av normalgraden vid misshandel av barn.,"Barnmisshandel, Aga, Gradinledning, Misshandel",B,8,åklagaren,Oa,R.A.,Pw
B 1825-17,NJA 2018 s. 512,2018-06-25,Förberedelse till brott (I och II).,"Förberedelse till brott, Hjälpmedel, Misshandel, Skattebrott",B,"8,22",åklagaren,Oa,"M.H.,C.J.,P.J.,R.V.B.","Pm,Pm,Pm,Pm"
B 184-19,NJA 2019 s. 327,2019-04-25,Efter huvudförhandlingen i ett brottmål beslutade rätten att dom skulle meddelas senare och att den tilltalade skulle bli kvar i häkte. Enligt anteckningar som sändes till parterna hade rätten i anslutning till förhandlingen också beslutat dom. Innan domen meddelades kompletterade rätten utredningen och tog på begäran av den tilltalade upp ny bevisning vid en fortsatt huvudförhandling. De ledamöter som deltagit vid huvudförhandlingen har ansetts inte vara jäviga att handlägga målet vid beslutet om komplettering eller vid en fortsatt huvudförhandling.,"Jäv, Ny bevisning, Huvudförhandling, Överläggning",B,18,åklagaren,Oa,P.P.,Pm
B 1858-18,NJA 2018 s. 1103,2018-12-21,"Rekvisitet att genomföra en sexuell handling med ett barn har, med hänsyn till legalitetsprincipen, ansetts inte omfatta att förmå ett barn att senare i ensamhet utföra en sexuell handling på sig själv, filma detta och sedan överföra videosekvensen till den tilltalade.","Sexuellt övergrepp mot barn, Legalitetsprincipen",B,8,åklagaren,Oa,A.R.,Pm
B 1930-17,NJA 2018 s. 491,2018-06-18,EES-medborgare som gjort sig skyldiga till smuggling respektive grov smuggling och olovlig förflyttning av punktskattepliktiga varor har ansetts inte kunna utvisas enligt 8 a kap. 5 § utlänningslagen (2005:716).,"Utvisning, EES-medborgare, Unionsmedborgare, Smuggling, Punktskattepliktiga varor",B,8,åklagaren,Oa,"L.M.,D.T.","Px,Px"
B 2027-17,NJA 2018 s. 229,2018-04-05,Människosmuggling. Som utgångspunkt finns det inte skäl att vid val av påföljd särbehandla människosmugglingsbrott av normalgraden med hänsyn till brottslighetens art (I och II).,"Människosmuggling, Påföljdsval, Artbrott, Straffmätning",B,16,åklagaren,Oa,R.O.,Pm
B 2066-17,NJA 2018 s. 443,2018-06-14,Kravet på tydlig sexuell inriktning eller prägel vid sexuellt ofredande.,"Sexuellt ofredande, Ofredande",B,8,åklagaren,Oa,P.B.,Pm
B 2228-18,NJA 2018 s. 975,2018-12-11,"Påföljdsval vid mord. Eftersom brottet inte har begåtts under påverkan av allvarlig psykisk störning och förutsättningar för rättspsykiatrisk vård inte ansetts föreligga, har påföljden bestämts till fängelse. Även fråga om fängelsestraffets längd.","Mord, Brottspåföljd, Fängelse, Rättspsykiatrisk vård",B,8,åklagaren,Oa,F.A.,Pm
B 2441-17,NJA 2018 s. 369,2018-06-07,"Det har ansetts inte föreligga någon konkret fara för överföring av hivsmitta vid oskyddade samlag, när en person har haft en välinställd behandling. Ett åtal för framkallande av fara för annan har därför ogillats. (Jfr NJA 2004 s. 176.)","Konkret fara, Framkallande av fara för annan, Hivinfektion, Välinställd hivbehandling",B,"8,13",åklagaren,Oa,P.M.-H.,Pm
B 256-17,NJA 2017 s. 531,2017-06-21,Försök till mordbrand. Fråga om försökspunkten uppnåtts. Också frågor om gradindelning och gränsen mellan medgärningsmannaskap och medhjälp.,"Försök, Mordbrand, Medgärningsmannaskap, Medhjälp",B,8,åklagaren,Oa,"T.K.,S.H.","Px,Px,Px"
B 2646-18,NJA 2018 s. 743,2018-09-28,Lagprövning enligt 11 kap. 14 § RF. Fråga om en bristfällig beredning innebär att stadgad ordning i något väsentligt hänseende har åsidosatts vid tillkomsten av ändringar i vapenlagen. Även fråga om rubricering av vapenbrott.,"Lagprövning, Beredningskrav, Grovt vapenbrott, Regeringsformen, Vapenbrott",B,"8,5",åklagaren,Oa,F.A.,Pm
B 2678-18,NJA 2018 s. 767,2018-10-10,Grovt rån? Gradindelning och straffvärde (I och II).,"Rån, Grovt rån, Gradindelning, Rubricering, Påföljd",B,8,åklagaren,Oa,"O.J.,S.S.","Pm,Pm"
B 279-17,NJA 2017 s. 955,2017-11-24,Fråga om det har förekommit rättegångsfel genom att en målsägande förhörts vid huvudförhandling i brottmål genom ljud- och bildupptagning utan att framträda i bild.,"Rättegångsfel, Målsägandeförhör, Förhör, Ljud- och bildupptagning",B,18,åklagaren,Oa,M.N.Z.,Pm
B 3079-17,NJA 2018 s. 456,2018-06-14,Tre fall av olovlig införsel av icke rabiesvaccinerade hundar från ett land där det finns en beaktansvärd risk för rabiessmitta har bedömts som tre grova smugglingsbrott. Påföljden har bestämts till fängelse med hänvisning till brottslighetens art.,Hundsmugglingen,B,8,åklagaren,Oa,"E.J.C,G.J","Px,Px"
B 3130-17,NJA 2017 s. 794,2017-11-07,"Tre personer har innehaft fem helautomatiska automatkarbiner och ammunition på allmän plats. Brottet har bedömts som grovt, inte synnerligen grovt, vapenbrott.","Synnerligen grovt vapenbrott, Grovt vapenbrott, Straffvärde, Gradindelning",B,8,åklagaren,Oa,"A.B.,R.T.,M.A.H.","Pm,Pm,Pm"
B 3289-18,NJA 2019 s. 305,2019-04-18,"Penningtvättsbrott. Rubricering och straffvärdebedömning när förbrottet bestått av ett bedrägeri som medfört att målsäganden betalat drygt 2,7 miljoner kr till fel konto.","Penningtvättsbrott, Bedrägeri, Reseförbud",B,8,åklagaren,Oa,"M.S.,S.W.,T.S,U.J.","Pm,Pw,Px,Px"
B 3492-17,NJA 2017 s. 814,2017-11-09,Grovt eller synnerligen grovt narkotikabrott?,"Narkotikabrott, Synnerligen grovt narkotikabrott, Rubricering, Straffvärde, Gradindelning",B,8,åklagaren,Oa,R.M.,Pm
B 3552-17,NJA 2018 s. 562,2018-07-02,"Ett yrkande om ansvar för underlåtenhet att avslöja brott ska ogillas om yrkandet är alternativt till ett yrkande om ansvar för delaktighet i brottet. - En sändning på internet som i allt väsentligt är obestämd till format, inriktning och tid är inte förenad med skydd enligt 1 kap. 6 § YGL (webbsändningsregeln).","Underlåtenhet att avslöja brott, Våldtäkt, Yttrandefrihetsgrundlagen, Webbsändningsregeln",B,"8,5",åklagaren,Oa,"E.K.,R.A.,M.A.","Pm,Pm,Pm"
B 381-19,NJA 2019 s. 438,2019-06-03,Synnerliga skäl för prövningstillstånd när det finns grund för resning till men för den tilltalade.,"Prövningstillstånd, Synnerliga skäl, Resning",B,18,åklagaren,Oa,A.H.,Pm
B 3924-17,NJA 2018 s. 378,2018-06-11,Tillverkning av ett stort antal falska identitetshandlingar har ansetts som skilda brott. Brotten har rubricerats som urkundsför-falskning av normalgraden. Även fråga om straffvärde vid flerfaldig brottslighet.,"Urkundsförfalskning, Gradindelning, Straffvärde, Flerfaldig brottslighet",B,"8,22",åklagaren,Oa,"M.M.,N.M.","Pm,Pm"
B 4150-18,NJA 2019 s. 544,2019-06-19,En tidigare ostraffad person som har gjort sig skyldig till flera våldsbrott mot närstående har utvisats på grund av återfallsrisk.,"Utvisning, Återfallsrisk",B,"16,8",åklagaren,Oa,A.L.,Pm
B 4531-17,NJA 2018 s. 150,2018-03-20,"Synnerligen grov narkotikasmuggling. Rubricering och straffmätning i mål om smuggling av heroin, kokain och cannabisharts. Frihetsberövande som varit förenat med restriktioner under kortare tid än sex månader har inte beaktats vid straffmätningen.","Synnerligen grov narkotikasmuggling, Billighetsskäl, Frihetsberövande, Häktning, Narkotikasmuggling, Restriktioner, Smuggling, Straffmätning, Utvisning, Återreseförbud",B,"8,16",åklagaren,Oa,"E.H.,B.M.","Pm,Pm"
B 4597-17,NJA 2018 s. 844,2018-10-30,Kränkande fotografering. Två personer har haft kontakt via webbkamera. En bildupptagning har ansetts ske i hemlighet när den ene personen utan den andres vetskap har startat inspelningsfunktionen på sin dator.,Kränkande fotografering,B,8,åklagaren,Oa,T.O.,Px
B 4680-17,NJA 2018 s. 634,2018-07-13,Enbart det förhållandet att ett likartat förfarande upprepas medför,"Skattebrott, Näringsförbud, Gradindelning, Straffvärde",B,"22,8",åklagaren,Oa,D.N,
B 48-18,NJA 2018 s. 1091,2018-12-21,En man har berört en kvinnas lår. Sexuellt ofredande?,Den oönskade beröringen II,B,8,åklagaren,Oa,K.J.,Pm
B 4878-18,NJA 2019 s. 238,2019-03-22,Straffvärde när den tilltalade mot en och samma målsägande har begått ett mycket stort antal grova våldtäkter mot barn och sexuella övergrepp mot barn.,"Straffmätning, Asperationsprincipen, Brottspåföljd, Grov våldtäkt mot barn  , Grovt sexuellt övergrepp mot barn",B,8,åklagaren,Oa,L.N.,Pm
B 4885-17,NJA 2018 s. 574,2018-07-05,Rubricering i mål om misshandel. Även fråga om tillämpning av 34 kap. Brottsbalken.,"Grov misshandel, Misshandel, Svår kroppsskada, Hänsynslöshet eller råhet, Ny brottslighet, Nyupptäckt brottslighet",B,8,åklagaren,Oa,"N.L.,R.W.","Px,Px"
B 4888-17,NJA 2018 s. 591,2018-07-10,En viss våldshandling (cross-checking) begången under en ishockey-match har inte ansetts tillåten med stöd av reglerna om samtycke eller social adekvans.,"Misshandel, Samtycke, Social adekvans",B,8,åklagaren,Oa,J.L.,Pm
B 4918-17,NJA 2018 s. 394,2018-06-12,"En förare av ett motorfordon hade del i en trafikolycka som orsakade endast sakskada. Omständigheterna gav anledning anta att föraren, som avlägsnade sig från trafikolycksplatsen utan att uppge namn och hemvist, gjort sig skyldig till trafikbrottslighet. Ansvar för smitning från trafikolycksplats enligt 5 § första stycket första ledet trafikbrottslagen har inte ansetts innebära en kränkning av rätten att inte belasta sig själv enligt artikel 6 i Europakonventionen.","Trafikbrott, Rätten att inte belasta sig själv, Rättvis rättegång, Självinkriminering, Smitning, Trafikolycka",B,8,åklagaren,Oa,K.C.,Px
B 4976-17,NJA 2018 s. 431,2018-06-13,Överträdelse av näringsförbud. 1. Innebörden av att ”återkommande ta emot uppdrag” i närståendes verksamhet. – 2. Överträdelse av näringsförbud har ansetts vara artbrott. – 3. Tiden för förlängning av näringsförbud.,"Överträdelse av näringsförbud, Artbrott, Förlängning av näringsförbud, Närståendeförbud",B,8,åklagaren,Oa,R.L.,Pw
B 5025-18,NJA 2019 s. 251,2019-03-22,Fråga om utformning av näringsförbud när tillfälligt näringsförbud gällt och fortsatt ska gälla.,"Näringsförbud, Tillfälligt näringsförbud, Reformatio in pejus",B,,åklagaren,Oa,K.Å.,Px
B 5042-17,NJA 2018 s. 704,2018-09-21,När innebörden av ett straffbud framgår av annan lagstiftning måste tolkning av den lagstiftningen ske på ett sätt som uppfyller den straffrättsliga legalitetsprincipens krav. Fråga om ett yrkande om avdrag för ingående mervärdesskatt har utgjort en oriktig uppgift i skattebrottslagens mening i ett fall där avdragsrätt inte har funnits.,"Skattebrott, Legalitetsprincipen, Mervärdesskattebedrägeri, Missbruksprincipen, Missing traders, Oriktig uppgift",B,"22,8",åklagaren,Oa,"B.F.,V.I.,R.U.","Px,Px,Px"
B 5050-17,NJA 2018 s. 1051,2018-12-18,Ett frihetsberövande på ett kommunalt vård- och omsorgsboende har inte ansetts tillåtet med stöd av oskrivna regler om social adekvans. Den tilltalade har emellertid trott att åtgärden legat inom ramen för vad en person i hans roll får göra. Han har på grund av detta ansetts inte ha sådant uppsåt som krävs för olaga frihetsberövande.,"Social adekvans, Uppsåt, Olaga frihetsberövande",B,8,åklagaren,Oa,T.B.,Pm
B 5057-18,NJA 2019 s. 347,2019-04-29,"I mål om sexualbrott mot barn ankommer det på åklagaren att på sedvanligt sätt styrka målsägandens ålder. Om folkbokföringsdatabasens uppgifter om målsägandens födelsetid kan ifrågasättas, måste åklagaren visa att uppgifterna grundas på ett tillfredsställande underlag eller lägga fram annan utredning som bekräftar uppgifterna.","Sexualbrott mot barn, Beviskrav, Folkbokföring, Ålder",B,8,åklagaren,Oa,E.D.,Pm
B 5434-17,NJA 2018 s. 1073,2018-12-20,Människosmuggling har bedömts som brott av normalgraden eftersom den innefattade transport genom flera länder varunder viss planering av resan skedde.,"Människosmuggling, Brottsrubricering",B,8,åklagaren,Oa,"C.E.,H.S.,F.Ö.","Pm,Pw,Pm"
B 549-19,NJA 2019 s. 553,2019-06-19,Gränsdragningen mellan människorov och människorov som är mindre grovt. Även fråga om människorov konsumerar grov misshandel.,"Människorov, Grov misshandel, Brottskonkurrens",B,8,åklagaren,Oa,M.S.,Pm
B 5533-18,NJA 2019 s. 279,2019-04-10,Omständigheten att en skrift framställts i tryckpress ska prövas som en processförutsättning vid talan enligt tryckfrihetsförordningen. Det är tillräckligt att det framstår som mer sannolikt att en skrift är framställd i tryckpress än att så inte är fallet.,"Tryckfrihetsmål, Beviskrav, Framställd i tryckpress, Processförutsättning, Tryckt skrift",B,"5,18,8",W.S. ,Pm,,
B 5577-18,NJA 2019 s. 294,2019-04-17,"Det utgör inte skyddande av brottsling att i polisförhör lämna falska uppgifter till förmån för någon som har gjort sig skyldig till ett brott, när uppgifterna endast kan påverka bevisläget mot den personen.","Skyddande av brottsling, Falska uppgifter, Falsk tillvitelse, Förundersökning, Mened, Polisförhör",B,8,åklagaren,Oa,A.H. ,Pw
B 573-18,NJA 2018 s. 677,2018-09-19,Grov narkotikasmuggling. Rubricering och straffmätning i mål om smuggling av cirka 20 kg metamfetamin.,"Narkotikasmuggling, Kurir",B,8,åklagaren,Oa,A.J.,Pm
B 5931-18,NJA 2019 s. 316,2019-04-24,Utvisning på grund av brott. Prövningen av om det föreligger synnerliga skäl för utvisning av en utlänning med lång vistelsetid i Sverige.,?????,B,"8,18",åklagaren,Oa,H.M.,Px
B 6130-18,NJA 2019 s. 577,2019-06-27,"I en författning hänvisades till en viss teknisk standard. Eftersom denna standard endast fanns tillgänglig på engelska har det ansetts stå i strid med den straffrättsliga legalitetsprincipen att döma för överträdelse av författningen (jfr ""Laserpekaren II"" NJA 2017 s. 157).","Strålskydd, Legalitetsprincipen, Teknisk standard",B,"5,8",åklagaren,Oa,F.J.,Pm
B 6195-18,NJA 2019 s. 492,2019-06-11,Mordbrand. Rubricering och straffvärdebedömning.,"Mordbrand, Rubricering, Gradindelning, Straffvärde, Fara",B,8,åklagaren,Oa,R.-M.W.,Pw
T 1055-18,NJA 2018 s. 1127,2018-12-27,"Vid överprövning i ett mål om upphandling beslutades att upphandlingen skulle göras om. Ett företag som lämnade anbud i den första upphandlingen, men inte i den andra, har inte ansetts ha rätt till skadestånd vare sig för sina kostnader för att upprätta anbud eller för sina kostnader för att föra talan mot det första upphandlingsbeslutet.","Upphandling, Skadestånd, Anbudskostnader, Överprövningskostnader",T,"20,23",Spinator AB,Cs,Försvarets materielverk,Oa
T 1144-18,NJA 2018 s. 913,2018-11-23,Uttrycket fordonets ägare i 2 a § lagen (1982:129) om flyttning av fordon i vissa fall avser den verkliga ägaren oavsett om han eller hon vid tidpunkten för flyttningen av fordonet är antecknad som ägare i vägtrafikregistret eller inte.,"Flyttning av fordon, Ägare",T,1,M.D.,Pw,Parkeringsövervakning i Malmö AB,Cs
T 12-17,NJA 2018 s. 414,2018-06-13,En advokats skadeståndsansvar gentemot sin klient.,"Advokats skadeståndsansvar, Skadestånd",T,23,Bostadsrättsföreningen Havsbrisen,Is,"Andersson Gustafsson Advokatbyrå Kommanditbolag,P.-G.J. ","Cs,Pm"
T 1451-17,NJA 2017 s. 1195,2017-12-29,Fråga om en fastighetsköpare - även om säljaren har handlat grovt vårdslöst eller i strid mot tro och heder - på grund av passivitet har förlorat sin rätt till påföljd för fel i fastigheten genom att inte underrätta säljaren om felet.,"Reklamation, Passivitet, Lojalitet, Fastighetsköp, Fel i fastighet",T,19,V.S.,Pm,Stiftelsen Skogssällskapet,Xs
T 1523-17,NJA 2018 s. 753,2018-10-08,Regeringsformen kräver att det görs en fristående proportionalitetsavvägning mellan allmänna och enskilda intressen i varje enskilt fall som gäller tvångsvis marköverföring enligt FBL. Även fråga om innebörden av förbättringsvillkoret i 5 kap. 5 § första stycket FBL.,"Fastighetsbildning, Egendomsskydd, Fastighetsreglering, Förbättringsvillkoret, Marköverföring, Proportionalitetsprincipen, Tvångsförfoganden",T,19,I.M.,Pw,"A.H.,G.H.","Px,Px"
T 1559-18,NJA 2019 s. 94,2019-03-08,Ren förmögenhetsskada. En bostadsrättsförening har ansetts skyldig att ersätta en förvärvare av en bostadsrätt för skada som orsakats genom att föreningen lämnat felaktiga uppgifter om pantsättning i ett utdrag ur lägenhetsförteckningen.,"Ren förmögenhetsskada, Befogad tillit, Bostadsrätt, Pantsättning, Lägenhetsförteckning, Vårdslöshet, Bevisbörda",T,"19,6",M.A.,Px,Bostadsrättsföreningen Gamla vägen i Solna,Cs
T 1566-17,NJA 2018 s. 171,2018-03-23,Fråga om en hyresvärd till följd av passivitet har förlorat sin rätt att kräva omsättningshyra. Passiviteten har bedömts få verkan för förfluten tid.,?????,T,"19,23",Vimmerby Mässhallar AB (VMAB),Cs,H. i Vimmerby AB (H.),Cs
T 1600-18,NJA 2019 s. 136,2019-03-15,Preskription enligt 8 kap. 20 § försäkringsavtalslagen. Fråga om vad som krävs för att den som gör gällande anspråk på ersättning enligt en företagsförsäkring ska anses ha anmält detta i tid.,"Försäkring, Försäkringsersättning, Företagsförsäkring, Preskription",T,23,C.G.,Pm,Länsförsäkringar Älvsborg,Cs
T 1622-17,NJA 2017 s. 1140,2017-12-28,Fråga om när en betalningstransaktion ska anses ha skett vid tillämpning av 3 kap. 1 och 2 §§ konkurslagen när den utförts med utnyttjande av I) checkräkningskredit respektive II) innestående kontomedel.,"Konkurs, Rådighetsförlust, Skattebetalning",T,10,"Göinge Montage AB:s konkursbo,LKPG Media AB","Cs,Cs",Skatteverket,Oa
T 1634-18,NJA 2019 s. 23,2019-02-06,"En sambo har betalat fakturor som avsett den andra sambons egendom som inte var samboegendom men som användes av samborna gemensamt. Den betalande sambon har ansetts ha bevisbördan för sitt påstående att betalningen utgjort ett penninglån. När han inte bevisat sitt påstående uppkommer frågan om han har rätt till ersättning på den grunden att den andra sambon, sedan samboförhållandet upphört, har gjort en obehörig vinst. Frågan har besvarats nekande.","Sambor, Bevisbörda, Obehörig vinst",T,"6,12",O.W.,Pm,M.S.,Pw
T 1683-17,NJA 2018 s. 66,2018-02-27,Skälig ersättning enligt lagen om förbud beträffande viss avkodningsutrustning ska grunda sig på avgiften för den tjänst som har gjorts tillgänglig exklusive mervärdesskatt.,"Avkodningsutrustning, Skälig ersättning, Skadestånd, Mervärdesskatt",T,23,"Canal Digital AB,Com Hem AB,Viasat AB","Cs,Cs,Cs","T.J.,M.S.,M.T.","Pm,Px,Px"
T 1738-17,NJA 2018 s. 725,2018-09-25,Passivt lagrande av datorprogramvara efter licenstiden har ansetts inte utgöra upphovsrättsintrång.,"Upphovsrätt, Datorprogram, Exemplarframställning",T,14,Malmö stad ,Om,Alfa Kommun och Landsting AB,Cs
T 1857-17,NJA 2018 s. 200,2018-03-28,"Servitut. Fråga om viss åtgärd från den tjänande fastighetens sida utgör hinder mot utövande av servitutsrätten och, i så fall, om den härskande fastighetens ägare är skyldig att tåla hindret.","Servitut, Intrång i servitut",T,19,S.H. ,Pm,Botkyrka kommun,Om
T 2043-18,NJA 2018 s. 1083,2018-12-20,När en domstol ska bestämma kränkningsersättning för upprepade brottsliga handlingar som har samband med varandra är det den samlade kränkning som den skadelidande typiskt sett drabbas av genom angreppen som är avgörande.,"Skadestånd, Kränkningsersättning, Upprepad brottslighet",T,23,Sekretess,Px,"N.L.,L.V.M.,C.H.,H.L.","Pm,Px,Px,Px"
T 2196-17,NJA 2018 s. 266,2018-04-17,En högskola har med stöd av kontraktsrättsliga principer förpliktats att återbetala del av studieavgift till en student på grund av bristande kvalitet i utbildningen.,"Studieavgift, Högskola",T,"9,6,23",C.A.,Pw,Mälardalens högskola,Oa
T 2286-18,NJA 2018 s. 833,2018-11-22,Utformning av förbud och ålägganden enligt marknadsföringslagen. Även fråga om belopps- och tidsbestämning av därmed förenat vite.,"Marknadsföring, Förbud, Åläggande, Vite",T,4,Konsumentombudsmannen,Oa,"INT Förbrukningsartiklar HB,WaYup AB,L.K.","Cs,Cs,Px"
T 2480-17,NJA 2018 s. 103,2018-03-05,Ersättning för ideell skada vid avregistrering av medborgarskap. Frågor om preskription och bestämmande av ersättningens storlek.,"Avregistrering av medborgarskap, Ideellt skadestånd, Preskription, Regeringsformen",T,"23,1",A.E,Pm,Svenska staten,Os
T 2659-17,NJA 2018 s. 127,2018-03-15,"Reklamation vid för sent utförd prestation. En passagerare som har rätt till ersättning enligt artikel 7 i flygpassagerarförord-ningen vid försenad flygning måste, för att ha rätt till ersättningen, meddela lufttrafikföretaget att han eller hon vill åberopa förseningen. Det ska göras inom skälig tid efter det att resan avslutades. En reklamation som lämnas inom två månader efter det att resan avslutades ska alltid anses gjord i rätt tid.","Reklamation, Dröjsmål, Flygtransport",T,23,"E.C.,J.C.C.,P.F.,H.N.H.","Px,Px,Px,Px",Turkish Airlines Inc,Cf
T 2832-18,NJA 2018 s. 545,2018-07-02,Förutsättningarna för att utse syssloman enligt 25 kap. 23 § aktiebolagslagen.,"Aktiebolag, Syssloman, Säkerhetsåtgärd, Tvångslikvidation",T,10,M.B.,Pm,Mama Africa restaurant & Bar Aktiebolag,Cs
T 2835-18,NJA 2019 s. 195,2019-03-21,Återtagandeförbehålls sakrättsliga giltighet. Fråga om en säljare lämnat ett uttryckligt eller underförstått förfogandemedgivande till köparen.,"Återtagandeförbehåll, Äganderättsförbehåll, Förfogandeförbud",T,6,DNB Bank ASA filial Sverige,Xs,Erwin Hymer Group Sverige AB,Cs
T 2984-18,NJA 1936 s. 684,2019-06-28,Ett beslut på en föreningsstämma i en vägsamfällighetsförening har upphävts på grund av brister i kallelseförfarandet.,"Samfällighet, Klander, Föreningsstämma",T,7,"R.H.,St.H.,S.Hj.","Px,Px,Pm",Korsvikens Nya Samfällighetsförening ,Xs
T 3000-17,NJA 2017 s. 1208,2017-12-29,Fråga om bestämmande av ersättning för sveda och värk som till följd av dödsfall åsamkats någon som stod den avlidne särskilt nära.,"Personskada, Sveda och värk, Psykiskt lidande",T,"23,8",Åklagare,Oa,S.S.O,Px
T 3536-18,NJA 2019 s. 406,2019-05-23,Bevisbörda och beviskrav i mål om tilläggsavgift enligt lagen (1977:67) om tilläggsavgift i kollektiv persontrafik.,"Tilläggsavgift, Kollektiv persontrafik, Bevisbörda",T,"18,1",Aktiebolaget Storstockholms Lokaltrafik,Cs,G.S.,Px
T 36-17,NJA 2017 s. 1053,2017-12-21,Skadeståndsskyldighet vid penningtvättsbrott,"Penningtvättsbrott, Skadestånd",T,23,"åklagaren,SBAB Bank AB","Oa,Cs",I.F.,Pw
T 3671-17,NJA 2018 s. 301,2018-05-04,"Fråga om lokalhyresvärds ansvar när lagrat gods har förstörts, i fall då hyresgästen gentemot någon annan åtagit sig att svara för ett lagringsuppdrag för egen räkning enligt Nordiskt Speditörförbunds Allmänna Bestämmelser (NSAB 2000).","Spedition, Hyreslokal, Kontraktsmedhjälpare, Bevisbörda, Presumtionsansvar, Lagring",T,"23,6",Green Cargo AB,Cs,Jernhusen Godsterminal AB,Cs
